Bench mbasis, FFT prime p = 882705526964617217, bit length = 60
rdim	cdim	order	app-rcmp	app-rupd	int-rcmp	int-rupd
16	12	2	0.00005776	0.00004383	0.00005259	0.00004500
16	12	4	0.00012901	0.00008922	0.00010593	0.00009347
16	12	8	0.00032917	0.00021251	0.00023291	0.00023285
16	12	16	0.00092149	0.00057532	0.00059239	0.00065614
16	12	32	0.00298101	0.00179121	0.00170187	0.00211634
16	12	64	0.01064502	0.00612734	0.00547982	0.00743146
16	12	128	0.03979441	0.02251349	0.01922908	0.02787471
16	13	2	0.00005691	0.00004279	0.00005151	0.00004376
16	13	4	0.00013080	0.00008822	0.00010630	0.00009391
16	13	8	0.00033838	0.00020267	0.00023609	0.00022462
16	13	16	0.00098768	0.00053214	0.00058658	0.00063796
16	13	32	0.00326015	0.00166917	0.00169512	0.00202547
16	13	64	0.01141137	0.00554851	0.00537147	0.00704391
16	13	128	0.04300129	0.02008994	0.01878947	0.02623201
16	14	2	0.00005661	0.00004175	0.00005073	0.00004279
16	14	4	0.00013090	0.00008414	0.00010388	0.00008976
16	14	8	0.00035061	0.00018917	0.00023236	0.00021349
16	14	16	0.00103916	0.00048229	0.00058145	0.00058816
16	14	32	0.00344077	0.00143417	0.00165457	0.00187146
16	14	64	0.01227751	0.00472487	0.00519429	0.00642750
16	14	128	0.04618342	0.01672465	0.01804441	0.02376022
16	15	2	0.00005533	0.00004044	0.00005037	0.00004142
16	15	4	0.00012933	0.00007882	0.00010059	0.00008529
16	15	8	0.00035384	0.00017358	0.00023756	0.00020196
16	15	16	0.00110066	0.00042896	0.00057310	0.00055285
16	15	32	0.00366169	0.00118817	0.00160126	0.00169532
16	15	64	0.01309400	0.00370052	0.00495164	0.00568549
16	15	128	0.04956720	0.01273638	0.01713514	0.02074965
32	1	2	0.00019648	0.00017293	0.00019331	0.00016950
32	1	4	0.00033719	0.00031125	0.00034070	0.00031809
32	1	8	0.00062898	0.00061555	0.00063061	0.00061421
32	1	16	0.00118169	0.00126392	0.00120385	0.00128769
32	1	32	0.00234491	0.00279211	0.00236694	0.00286683
32	1	64	0.00568209	0.00786355	0.00572837	0.00784514
32	1	128	0.01536886	0.02454732	0.01565469	0.02468510
32	3	2	0.00020111	0.00017674	0.00019734	0.00017715
32	3	4	0.00035477	0.00033130	0.00034857	0.00033221
32	3	8	0.00066386	0.00068117	0.00064954	0.00067745
32	3	16	0.00148564	0.00170575	0.00145230	0.00170625
32	3	32	0.00361059	0.00481603	0.00356675	0.00486657
32	3	64	0.01012831	0.01512568	0.00987351	0.01520392
32	3	128	0.03264878	0.05335210	0.03183790	0.05420312
32	5	2	0.00019727	0.00017020	0.00018757	0.00016920
32	5	4	0.00035235	0.00032418	0.00033904	0.00032499
32	5	8	0.00072775	0.00075104	0.00069634	0.00074983
