Bench mbasis, random prime p = 610672428373912909, bit length = 60
rdim	cdim	order	app-rcmp	app-rupd	int-rcmp	int-rupd
32	23	16	0.00459242	0.00279686	0.00264697	0.00303780
32	23	32	0.01545167	0.00975166	0.00796439	0.01028470
32	23	64	0.05559607	0.03399037	0.02568673	0.03714617
32	23	128	0.21046165	0.12734399	0.09196837	0.14112551
32	25	2	0.00024865	0.00016225	0.00020157	0.00016427
32	25	4	0.00058691	0.00035681	0.00043750	0.00037250
32	25	8	0.00164222	0.00091299	0.00104350	0.00097295
32	25	16	0.00495330	0.00262681	0.00264665	0.00287660
32	25	32	0.01655986	0.00832400	0.00755830	0.00942209
32	25	64	0.06017816	0.02954011	0.02445399	0.03379143
32	25	128	0.22791870	0.10953384	0.08692763	0.12774653
32	27	2	0.00024469	0.00015535	0.00019604	0.00015609
32	27	4	0.00058391	0.00032684	0.00043210	0.00034418
32	27	8	0.00168714	0.00079882	0.00098390	0.00087321
32	27	16	0.00524452	0.00232198	0.00256366	0.00265366
32	27	32	0.01782792	0.00717374	0.00715565	0.00838544
32	27	64	0.06443689	0.02468674	0.02283693	0.02979780
32	27	128	0.24648309	0.09122018	0.08063176	0.11094416
32	29	2	0.00023647	0.00014476	0.00019099	0.00014661
32	29	4	0.00056629	0.00029622	0.00040029	0.00031148
32	29	8	0.00170783	0.00070377	0.00094345	0.00078276
32	29	16	0.00543863	0.00190851	0.00239777	0.00225797
32	29	32	0.01887451	0.00570445	0.00665749	0.00716792
32	29	64	0.06982034	0.01902100	0.02086982	0.02474427
32	29	128	0.26484871	0.06761644	0.07172284	0.09124750
32	31	2	0.00022783	0.00013256	0.00018258	0.00013498
32	31	4	0.00056134	0.00025806	0.00038242	0.00028070
32	31	8	0.00166696	0.00057294	0.00086563	0.00066092
32	31	16	0.00557475	0.00146163	0.00218527	0.00187974
32	31	32	0.01988474	0.00395186	0.00599812	0.00555965
32	31	64	0.07429710	0.01188030	0.01824392	0.01868552
32	31	128	0.28352118	0.04032850	0.06183835	0.06721022
64	1	2	0.00096495	0.00086569	0.00097304	0.00087140
64	1	4	0.00164360	0.00155193	0.00162921	0.00157099
64	1	8	0.00296056	0.00296341	0.00300302	0.00292565
64	1	16	0.00576055	0.00583068	0.00580079	0.00590193
64	1	32	0.01121672	0.01242808	0.01121582	0.01256731
64	1	64	0.02217513	0.02848888	0.02216562	0.02940851
64	1	128	0.05429091	0.08254834	0.05434717	0.08234924
64	5	2	0.00088569	0.00078810	0.00087848	0.00079226
64	5	4	0.00162956	0.00151601	0.00154876	0.00151440
64	5	8	0.00313167	0.00325150	0.00304837	0.00321165
64	5	16	0.00690323	0.00790752	0.00646210	0.00789743
64	5	32	0.01615014	0.02226272	0.01559939	0.02253246
64	5	64	0.04453952	0.07241542	0.04288818	0.07255612
64	5	128	0.14030486	0.25684881	0.13434115	0.25827491
64	9	2	0.00092461	0.00079451	0.00089333	0.00078354
64	9	4	0.00179717	0.00163667	0.00168382	0.00159544
64	9	8	0.00354453	0.00362418	0.00332732	0.00359546
64	9	16	0.00826327	0.01002989	0.00769751	0.01002623
64	9	32	0.02236287	0.03177026	0.02015307	0.03169630
64	9	64	0.06805451	0.10970852	0.06078427	0.11013053
64	9	128	0.23256566	0.40866973	0.20576139	0.41224356
